Time P_measured P_ideal
0.5 0.0262158 0.0402929
1 0.0579719 0.0413288
1.5 0.0353015 0.0399758
2 0.0445962 0.0403054
2.5 0.0358826 0.0398695
3 0.0400533 0.0400637
3.5 0.0316056 0.0398782
4 0.047274 0.0400189
4.5 0.0341396 0.0398552
5 0.0372709 0.0398202
5.5 0.0337899 0.0398392
6 0.0277559 0.0400139
6.5 0.04855 0.0400291
7 0.0380986 0.0399546
7.5 0.0405888 0.0399354
8 0.0390575 0.0401171
8.5 0.0297693 0.0399936
9 0.0465021 0.0400002
9.5 0.044542 0.039841
10 0.0441354 0.0396578
10.5 0.0476632 0.0403684
11 0.0377251 0.0400049
11.5 0.0548233 0.0401595
12 0.0449924 0.0402272
12.5 0.0358122 0.039927
13 0.0299976 0.0399206
13.5 0.0370872 0.0400517
14 0.0292737 0.03993
14.5 0.0395543 0.0401581
15 0.0385196 0.0400009
15.5 0.0365606 0.0400434
16 0.0388918 0.040038
16.5 0.0415962 0.0399824
17 0.051226 0.0400016
17.5 0.0297418 0.040043
18 0.0434262 0.0401769
18.5 0.0401588 0.0400299
19 0.040003 0.0398717
19.5 0.0496331 0.0399833
20 0.0392811 0.0399264
20.5 0.0429727 0.0402453
21 0.0366193 0.0399747
21.5 0.0298948 0.0399486
22 0.0417976 0.040113
22.5 0.0345267 0.0398225
23 0.0321256 0.0399081
23.5 0.0449812 0.04001
24 0.0379068 0.0402609
24.5 0.0531994 0.0399277
25 0.0339235 0.0398345
25.5 0.0443624 0.039986
26 0.0506727 0.0398927
26.5 0.0338722 0.0401228
27 0.0407454 0.0402771
27.5 0.0404994 0.0399059
28 0.0341226 0.0398267
28.5 0.0282025 0.0401671
29 0.0465179 0.040257
29.5 0.0248223 0.0399655
30 0.0424959 0.0398322
30.5 0.0460193 0.0400829
31 0.0530676 0.0400184
31.5 0.0454963 0.0399106
32 0.0343372 0.0401153
32.5 0.04252 0.0399021
33 0.0425692 0.0399869
33.5 0.0416263 0.0400615
34 0.031034 0.0400382
34.5 0.0461058 0.0399185
35 0.0342356 0.0398911
35.5 0.0287401 0.0398904
36 0.0290316 0.0398384
36.5 0.042786 0.0399669
37 0.0380394 0.0401383
37.5 0.045112 0.0398051
38 0.0358618 0.0398949
38.5 0.0311308 0.0400409
39 0.039207 0.0400709
39.5 0.0447294 0.0398386
40 0.0370134 0.0399628
40.5 0.0377416 0.0400522
41 0.0297615 0.0399139
41.5 0.0361601 0.0400483
42 0.0434783 0.0400955
42.5 0.0409593 0.040034
43 0.0451328 0.0400849
43.5 0.0371898 0.039903
44 0.0386755 0.0398554
44.5 0.0529452 0.0400588
45 0.0331774 0.0400289
45.5 0.0515721 0.0400284
46 0.0314378 0.0400822
46.5 0.039027 0.0400207
47 0.0384265 0.0399943
47.5 0.033959 0.0400482
48 0.0344584 0.0399452
48.5 0.0372026 0.0400019
49 0.0508612 0.0399259
49.5 0.0366427 0.0399735
50 0.0406847 0.0400389
50.5 0.0347383 0.0399583
51 0.0369281 0.0400993
51.5 0.0404606 0.0400107
52 0.0446798 0.0399946
52.5 0.0444589 0.039912
53 0.0392007 0.0398254
53.5 0.0458343 0.0400558
54 0.0295835 0.0401154
54.5 0.0344158 0.0399223
55 0.0341689 0.039824
55.5 0.0426139 0.039937
56 0.0564384 0.0401702
56.5 0.0358922 0.0399984
57 0.0328202 0.039856
57.5 0.0367741 0.0400507
58 0.0366058 0.0400089
58.5 0.0464455 0.0400184
59 0.0437694 0.0401642
59.5 0.0460496 0.0399114
60 0.0316694 0.0397982
60.5 0.0396292 0.0400034
61 0.0380747 0.0401974
61.5 0.0358874 0.039988
62 0.041725 0.0400051
62.5 0.0318277 0.04002
63 0.0442638 0.0400703
63.5 0.0478312 0.0398875
64 0.0344491 0.0398236
64.5 0.0404812 0.0400643
65 0.0380293 0.0400595
65.5 0.0371188 0.0399775
66 0.0353685 0.0400606
66.5 0.033917 0.0398744
67 0.0375064 0.0397992
67.5 0.0492944 0.039862
68 0.0367544 0.0402328
68.5 0.0428506 0.0400495
69 0.036668 0.0400145
69.5 0.0464412 0.0398075
70 0.0261987 0.0399705
70.5 0.0325934 0.0400343
71 0.0482176 0.0399948
71.5 0.04425 0.0399779
72 0.0461036 0.0399838
72.5 0.0399964 0.0399861
73 0.0378634 0.0399827
73.5 0.0341598 0.0401824
74 0.0391651 0.0401189
74.5 0.0520301 0.0400028
75 0.0529577 0.0400334
75.5 0.0355111 0.0399514
76 0.0298571 0.0398355
76.5 0.034428 0.0400283
77 0.0305949 0.0401307
77.5 0.0283346 0.0398727
78 0.0366328 0.0398184
78.5 0.0467785 0.0402153
79 0.0332737 0.0402173
79.5 0.042318 0.0398799
80 0.041487 0.0397836
80.5 0.0347548 0.0399378
81 0.0429315 0.0400444
81.5 0.0367109 0.0399527
82 0.0333712 0.0400978
82.5 0.0415359 0.039872
83 0.0316209 0.039879
83.5 0.0399558 0.0400765
84 0.0462216 0.0401761
84.5 0.0380284 0.0398879
85 0.0405588 0.0400425
85.5 0.0459364 0.0399071
86 0.0395357 0.039884
86.5 0.0370561 0.0399793
87 0.0441462 0.0401277
87.5 0.0428578 0.0399743
88 0.0263402 0.0398856
88.5 0.0304672 0.0399392
89 0.0453742 0.0398947
89.5 0.0438965 0.0399731
90 0.0408812 0.0399985
90.5 0.0437692 0.0398588
91 0.034658 0.0398466
91.5 0.0450927 0.0400076
92 0.0390817 0.0403029
92.5 0.046681 0.0399596
93 0.050503 0.0400927
93.5 0.0367862 0.0396914
94 0.0371786 0.039944
94.5 0.0254916 0.0398901
95 0.0442027 0.039847
95.5 0.0443025 0.0400501
96 0.0438929 0.0399442
96.5 0.0413397 0.039973
97 0.0481963 0.0399619
97.5 0.0399295 0.0399782
98 0.031993 0.0400665
98.5 0.0402129 0.0401971
99 0.0384439 0.0401674
99.5 0.042752 0.0398647
100 0.0388061 0.0402167
