T_inst E_tot P Z
0.0998363 -6.67388 -6.13182 -72.2573
0.104492 -6.66614 -6.12276 -68.9356
0.104147 -6.66538 -6.1145 -69.0708
0.1038 -6.6641 -6.10279 -69.1691
0.103449 -6.6623 -6.08762 -69.231
0.103095 -6.65998 -6.06898 -69.2564
0.102736 -6.65712 -6.04687 -69.2453
0.102371 -6.65373 -6.02129 -69.1977
0.102002 -6.64979 -5.99224 -69.1132
0.101628 -6.6453 -5.95972 -68.9914
0.101249 -6.64024 -5.92374 -68.8315
0.100867 -6.63462 -5.88433 -68.6326
0.100483 -6.62843 -5.84155 -68.3934
0.100101 -6.62166 -5.79545 -68.1127
0.099724 -6.61431 -5.74613 -67.7886
0.099356 -6.6064 -5.69372 -67.4191
0.0990034 -6.59788 -5.63831 -67.0007
0.0986732 -6.58887 -5.58027 -66.533
0.0983727 -6.57939 -5.51987 -66.0139
0.0981121 -6.56943 -5.4574 -65.4401
0.0979021 -6.55906 -5.39328 -64.8099
0.0977531 -6.54838 -5.32804 -64.1236
0.0976756 -6.53738 -5.26212 -63.3805
0.0976793 -6.52636 -5.19647 -62.5874
0.0977717 -6.5153 -5.13158 -61.7474
0.0979573 -6.50454 -5.0685 -60.8729
0.0982371 -6.49398 -5.00761 -59.9703
0.0986077 -6.48386 -4.94978 -59.0549
0.0990602 -6.47433 -4.8957 -58.1429
0.0995795 -6.46543 -4.84577 -57.2499
0.100149 -6.45752 -4.80089 -56.3969
0.100749 -6.45035 -4.76078 -55.593
0.101356 -6.44398 -4.72559 -54.8513
0.101952 -6.43849 -4.69539 -54.1823
0.102516 -6.43396 -4.67017 -53.595
0.103033 -6.43028 -4.64949 -53.0895
0.103495 -6.42749 -4.63311 -52.6667
0.103893 -6.42523 -4.6201 -52.3173
0.104225 -6.42354 -4.61017 -52.0385
0.104491 -6.42251 -4.60314 -51.8271
0.104694 -6.42179 -4.59804 -51.6694
0.104841 -6.42124 -4.59432 -51.5552
0.104939 -6.42118 -4.59225 -51.4836
