X Y Survivors
-50 -50 2
-50 -48 2
-50 -46 2
-50 -44 2
-50 -42 2
-50 -40 2
-50 -38 2
-50 -36 2
-50 -34 2
-50 -32 2
-50 -30 2
-50 -28 2
-50 -26 2
-50 -24 2
-50 -22 2
-50 -20 2
-50 -18 2
-50 -16 2
-50 -14 2
-50 -12 2
-50 -10 2
-50 -8 2
-50 -6 2
-50 -4 2
-50 -2 2
-50 0 2
-50 2 1
-50 4 1
-50 6 1
-50 8 1
-50 10 1
-50 12 1
-50 14 1
-50 16 1
-50 18 1
-50 20 1
-50 22 1
-50 24 1
-50 26 1
-50 28 1
-50 30 1
-50 32 1
-50 34 1
-50 36 1
-50 38 1
-50 40 1
-50 42 1
-50 44 1
-50 46 1
-50 48 1
-50 50 1
-48 -50 2
-48 -48 2
-48 -46 2
-48 -44 2
-48 -42 2
-48 -40 2
-48 -38 2
-48 -36 2
-48 -34 2
-48 -32 2
-48 -30 2
-48 -28 2
-48 -26 2
-48 -24 2
-48 -22 2
-48 -20 2
-48 -18 2
-48 -16 2
-48 -14 2
-48 -12 2
-48 -10 2
-48 -8 2
-48 -6 2
-48 -4 2
-48 -2 2
-48 0 2
-48 2 1
-48 4 1
-48 6 1
-48 8 1
-48 10 1
-48 12 1
-48 14 1
-48 16 1
-48 18 1
-48 20 1
-48 22 1
-48 24 1
-48 26 1
-48 28 1
-48 30 1
-48 32 1
-48 34 1
-48 36 1
-48 38 1
-48 40 1
-48 42 1
-48 44 1
-48 46 1
-48 48 1
-48 50 1
-46 -50 2
-46 -48 2
-46 -46 2
-46 -44 2
-46 -42 2
-46 -40 2
-46 -38 2
-46 -36 2
-46 -34 2
-46 -32 2
-46 -30 2
-46 -28 2
-46 -26 2
-46 -24 2
-46 -22 2
-46 -20 2
-46 -18 2
-46 -16 2
-46 -14 2
-46 -12 2
-46 -10 2
-46 -8 2
-46 -6 2
-46 -4 2
-46 -2 2
-46 0 2
-46 2 1
-46 4 1
-46 6 1
-46 8 1
-46 10 1
-46 12 1
-46 14 1
-46 16 1
-46 18 1
-46 20 1
-46 22 1
-46 24 1
-46 26 1
-46 28 1
-46 30 1
-46 32 1
-46 34 1
-46 36 1
-46 38 1
-46 40 1
-46 42 1
-46 44 1
-46 46 1
-46 48 1
-46 50 1
-44 -50 2
-44 -48 2
-44 -46 2
