Time Analytic Euler Adaptive_RK4
0 0.1 0.1 0.1
0.5 0.154828 0.145 0.154828
1 0.231969 0.206988 0.231969
1.5 0.332428 0.289059 0.332428
2 0.450853 0.391811 0.450853
2.5 0.575121 0.510959 0.575121
3 0.690568 0.635899 0.690568
3.5 0.786302 0.751665 0.786302
4 0.858486 0.844997 0.858486
4.5 0.909107 0.910486 0.909107
5 0.942826 0.951236 0.942826
5.5 0.964524 0.974429 0.964524
6 0.978178 0.986888 0.978178
6.5 0.98665 0.993358 0.98665
7 0.99186 0.996657 0.99186
7.5 0.995047 0.998323 0.995047
8 0.99699 0.99916 0.99699
8.5 0.998172 0.99958 0.998172
9 0.998891 0.99979 0.998891
9.5 0.999327 0.999895 0.999327
10 0.999592 0.999947 0.999592
