Time n1 n2
0 10 10
0.1 10.8236 10.8991
0.2 11.6943 11.865
0.3 12.6111 12.9002
0.4 13.5724 14.007
0.5 14.576 15.1871
0.6 15.6188 16.4421
0.7 16.6968 17.7729
0.8 17.8054 19.1799
0.9 18.9389 20.6629
1 20.0909 22.221
1.1 21.2544 23.8528
1.2 22.4216 25.5562
1.3 23.5844 27.3282
1.4 24.7341 29.1654
1.5 25.862 31.0638
1.6 26.9592 33.0188
1.7 28.0171 35.0253
1.8 29.0274 37.0779
1.9 29.9823 39.1709
2 30.8749 41.2984
2.1 31.6987 43.4544
2.2 32.4485 45.633
2.3 33.1199 47.8283
2.4 33.7095 50.0346
2.5 34.2152 52.2466
2.6 34.6357 54.4592
2.7 34.9707 56.6676
2.8 35.2209 58.8674
2.9 35.3878 61.0548
3 35.4735 63.2262
3.1 35.4811 65.3785
3.2 35.4137 67.509
3.3 35.2754 69.6153
3.4 35.0701 71.6955
3.5 34.8023 73.7478
3.6 34.4765 75.7709
3.7 34.0973 77.7636
3.8 33.6692 79.725
3.9 33.1968 81.6546
4 32.6846 83.5516
4.1 32.1369 85.4158
4.2 31.5578 87.2469
4.3 30.9513 89.0447
4.4 30.3212 90.8091
4.5 29.6711 92.5402
4.6 29.0042 94.2379
4.7 28.3238 95.9024
4.8 27.6328 97.5336
4.9 26.9339 99.1319
5 26.2295 100.697
5.1 25.5221 102.23
5.2 24.8136 103.73
5.3 24.1061 105.197
5.4 23.4014 106.633
5.5 22.701 108.036
5.6 22.0063 109.408
5.7 21.3188 110.748
5.8 20.6395 112.056
5.9 19.9695 113.333
6 19.3097 114.579
6.1 18.6609 115.794
6.2 18.024 116.979
6.3 17.3993 118.134
6.4 16.7876 119.258
6.5 16.1892 120.353
6.6 15.6046 121.418
6.7 15.0339 122.454
6.8 14.4775 123.461
6.9 13.9354 124.439
7 13.408 125.39
7.1 12.8951 126.312
7.2 12.3968 127.208
7.3 11.9131 128.076
7.4 11.444 128.917
7.5 10.9893 129.733
7.6 10.5489 130.522
7.7 10.1227 131.287
7.8 9.71051 132.026
7.9 9.31208 132.741
8 8.92722 133.433
8.1 8.55568 134.101
8.2 8.19722 134.746
8.3 7.85156 135.369
8.4 7.51843 135.97
8.5 7.19754 136.55
8.6 6.88859 137.108
8.7 6.59128 137.647
8.8 6.30531 138.166
8.9 6.03037 138.666
9 5.76614 139.147
9.1 5.51231 139.61
9.2 5.26858 140.055
9.3 5.03463 140.483
9.4 4.81015 140.895
9.5 4.59483 141.29
9.6 4.38838 141.67
9.7 4.19049 142.035
9.8 4.00087 142.385
9.9 3.81922 142.721
10 3.64528 143.044
10.1 3.47874 143.353
10.2 3.31936 143.649
10.3 3.16685 143.934
10.4 3.02095 144.206
10.5 2.88142 144.467
10.6 2.74801 144.717
10.7 2.62047 144.956
10.8 2.49859 145.185
10.9 2.38212 145.405
11 2.27085 145.615
11.1 2.16457 145.815
11.2 2.06307 146.007
11.3 1.96616 146.191
11.4 1.87364 146.367
11.5 1.78532 146.535
11.6 1.70104 146.695
11.7 1.62062 146.848
11.8 1.54389 146.995
11.9 1.47069 147.135
12 1.40087 147.269
12.1 1.33428 147.396
12.2 1.27078 147.518
12.3 1.21024 147.635
12.4 1.15251 147.746
12.5 1.09749 147.852
12.6 1.04503 147.953
12.7 0.995039 148.049
12.8 0.947394 148.142
12.9 0.901992 148.229
13 0.858729 148.313
13.1 0.817509 148.393
13.2 0.778238 148.469
13.3 0.740827 148.542
13.4 0.70519 148.612
13.5 0.671245 148.678
13.6 0.638914 148.741
13.7 0.608122 148.801
13.8 0.578797 148.858
13.9 0.550872 148.913
14 0.52428 148.965
14.1 0.498959 149.014
14.2 0.474851 149.061
14.3 0.451896 149.106
14.4 0.430042 149.149
14.5 0.409237 149.19
14.6 0.389431 149.229
14.7 0.370576 149.266
14.8 0.352628 149.301
14.9 0.335543 149.335
15 0.319281 149.367
15.1 0.303803 149.397
15.2 0.28907 149.426
15.3 0.275049 149.454
15.4 0.261703 149.48
15.5 0.249003 149.506
15.6 0.236915 149.529
15.7 0.225412 149.552
15.8 0.214465 149.574
15.9 0.204048 149.594
16 0.194135 149.614
16.1 0.184701 149.633
16.2 0.175724 149.65
16.3 0.167183 149.667
16.4 0.159055 149.683
16.5 0.151321 149.699
16.6 0.143962 149.713
16.7 0.13696 149.727
16.8 0.130297 149.741
16.9 0.123958 149.753
17 0.117927 149.765
17.1 0.112188 149.776
17.2 0.106728 149.787
17.3 0.101534 149.798
17.4 0.0965914 149.807
17.5 0.0918892 149.817
17.6 0.0874155 149.826
17.7 0.0831592 149.834
17.8 0.0791099 149.842
17.9 0.0752574 149.85
18 0.0715923 149.857
18.1 0.0681054 149.864
18.2 0.0647882 149.871
18.3 0.0616323 149.877
18.4 0.05863 149.883
18.5 0.0557737 149.889
18.6 0.0530565 149.894
18.7 0.0504715 149.899
18.8 0.0480123 149.904
18.9 0.0456729 149.909
19 0.0434473 149.913
19.1 0.0413301 149.917
19.2 0.039316 149.921
19.3 0.0373999 149.925
19.4 0.0355772 149.929
19.5 0.0338433 149.932
19.6 0.0321938 149.936
19.7 0.0306246 149.939
19.8 0.0291319 149.942
19.9 0.0277119 149.945
20 0.0263611 149.947
20.1 0.0250761 149.95
20.2 0.0238537 149.952
20.3 0.0226909 149.955
20.4 0.0215847 149.957
20.5 0.0205324 149.959
