Time N1 N2 N3
0 150 100 20
0.05 85.6003 118.875 22.2307
0.1 47.3826 122.914 24.9903
0.15 26.8159 116.608 28.0478
0.2 16.0201 104.876 31.1856
0.25 10.2517 91.0368 34.2264
0.3 7.05178 77.0324 37.0398
0.35 5.19857 63.9268 39.5423
0.4 4.08082 52.2473 41.6928
0.45 3.3839 42.1892 43.4846
0.5 2.93958 33.7454 44.9362
0.55 2.65411 26.7933 46.0807
0.6 2.47309 21.1544 46.9586
0.65 2.36367 16.6329 47.6115
0.7 2.30532 13.0387 48.0788
0.75 2.28476 10.2003 48.3953
0.8 2.29313 7.96959 48.5912
0.85 2.32441 6.22248 48.6914
0.9 2.37437 4.85738 48.7163
0.95 2.44004 3.79243 48.6824
1 2.51929 2.96235 48.6026
1.05 2.61057 2.31559 48.4873
1.1 2.71277 1.81164 48.3446
1.15 2.82512 1.41884 48.1809
1.2 2.94707 1.11249 48.001
1.25 3.07827 0.873378 47.8088
1.3 3.21849 0.686566 47.6073
1.35 3.36765 0.540461 47.3988
1.4 3.52573 0.426062 47.1851
1.45 3.6928 0.336376 46.9675
1.5 3.869 0.265974 46.7473
1.55 4.05451 0.210635 46.5252
1.6 4.24956 0.167075 46.3018
1.65 4.4544 0.132738 46.0778
1.7 4.66935 0.105632 45.8534
1.75 4.89471 0.0842015 45.629
1.8 5.13086 0.067233 45.4049
1.85 5.37815 0.0537766 45.1811
1.9 5.63699 0.0430888 44.958
1.95 5.90779 0.0345865 44.7355
2 6.19097 0.027812 44.5137
2.05 6.48699 0.0224053 44.2928
2.1 6.79629 0.0180834 44.0728
2.15 7.11936 0.0146227 43.8537
2.2 7.45666 0.0118469 43.6356
2.25 7.8087 0.00961686 43.4184
2.3 8.17597 0.00782206 43.2022
2.35 8.55898 0.00637507 42.987
2.4 8.95824 0.00520642 42.7729
2.45 9.37426 0.00426088 42.5598
2.5 9.80756 0.00349448 42.3477
2.55 10.2587 0.00287214 42.1366
2.6 10.7281 0.00236583 41.9265
2.65 11.2163 0.00195316 41.7175
2.7 11.7238 0.00161617 41.5095
2.75 12.2512 0.00134043 41.3026
2.8 12.7989 0.00111439 41.0966
2.85 13.3673 0.00092871 40.8917
2.9 13.9569 0.000775882 40.6878
2.95 14.5682 0.000649838 40.4849
3 15.2015 0.000545669 40.283
3.05 15.8573 0.0004594 40.0821
3.1 16.5359 0.000387804 39.8822
3.15 17.2375 0.000328258 39.6833
3.2 17.9625 0.000278627 39.4854
3.25 18.7111 0.00023717 39.2884
3.3 19.4835 0.000202465 39.0925
3.35 20.2799 0.000173346 38.8975
3.4 21.1002 0.00014886 38.7035
3.45 21.9446 0.000128224 38.5105
3.5 22.8131 0.000110791 38.3184
3.55 23.7054 9.60316e-05 38.1273
3.6 24.6216 8.35062e-05 37.9372
3.65 25.5613 7.28522e-05 37.748
3.7 26.5242 6.37689e-05 37.5597
3.75 27.51 5.60069e-05 37.3724
3.8 28.5182 4.93585e-05 37.186
3.85 29.5483 4.36509e-05 37.0005
3.9 30.5997 3.87396e-05 36.816
3.95 31.6717 3.45041e-05 36.6324
4 32.7635 3.08431e-05 36.4497
4.05 33.8743 2.76718e-05 36.2679
4.1 35.0031 2.49187e-05 36.087
4.15 36.149 2.25238e-05 35.907
4.2 37.3109 2.04362e-05 35.7279
4.25 38.4876 1.8613e-05 35.5497
4.3 39.678 1.70178e-05 35.3724
4.35 40.8806 1.56197e-05 35.196
4.4 42.0943 1.43925e-05 35.0204
4.45 43.3177 1.33139e-05 34.8458
4.5 44.5492 1.23647e-05 34.672
4.55 45.7875 1.15287e-05 34.4991
4.6 47.0309 1.07919e-05 34.327
4.65 48.2781 1.01424e-05 34.1558
4.7 49.5275 9.56995e-06 33.9854
4.75 50.7774 9.06577e-06 33.8159
4.8 52.0263 8.62231e-06 33.6473
4.85 53.2727 8.23309e-06 33.4795
4.9 54.5151 7.89254e-06 33.3125
4.95 55.7519 7.59588e-06 33.1463
5 56.9815 7.33903e-06 32.981
5.05 58.2026 7.11849e-06 32.8165
5.1 59.4138 6.93128e-06 32.6529
5.15 60.6136 6.7749e-06 32.49
5.2 61.8007 6.64723e-06 32.328
5.25 62.9739 6.54653e-06 32.1667
5.3 64.132 6.47138e-06 32.0063
5.35 65.2738 6.42064e-06 31.8467
5.4 66.3983 6.39346e-06 31.6878
5.45 67.5046 6.38923e-06 31.5298
5.5 68.5916 6.40759e-06 31.3725
5.55 69.6587 6.44838e-06 31.216
5.6 70.7049 6.51168e-06 31.0604
