Time nR nF
0 400 400
0.01 395.207 402.771
0.02 390.428 405.484
0.03 385.666 408.137
0.04 380.922 410.729
0.05 376.197 413.26
0.06 371.494 415.728
0.07 366.814 418.132
0.08 362.159 420.471
0.09 357.53 422.745
0.1 352.928 424.953
0.11 348.356 427.094
0.12 343.813 429.168
0.13 339.302 431.173
0.14 334.824 433.11
0.15 330.38 434.978
0.16 325.971 436.777
0.17 321.598 438.507
0.18 317.262 440.166
0.19 312.965 441.755
0.2 308.706 443.275
0.21 304.487 444.724
0.22 300.309 446.103
0.23 296.172 447.411
0.24 292.078 448.65
0.25 288.026 449.819
0.26 284.017 450.918
0.27 280.053 451.948
0.28 276.132 452.909
0.29 272.257 453.801
0.3 268.427 454.625
0.31 264.642 455.38
0.32 260.903 456.069
0.33 257.21 456.691
0.34 253.563 457.246
0.35 249.963 457.736
0.36 246.41 458.16
0.37 242.903 458.521
0.38 239.443 458.817
0.39 236.03 459.051
0.4 232.663 459.222
0.41 229.343 459.333
0.42 226.07 459.382
0.43 222.844 459.372
0.44 219.663 459.303
0.45 216.53 459.177
0.46 213.442 458.993
0.47 210.4 458.752
0.48 207.403 458.457
0.49 204.452 458.107
0.5 201.546 457.704
0.51 198.684 457.249
0.52 195.867 456.742
0.53 193.094 456.185
0.54 190.365 455.578
0.55 187.679 454.923
0.56 185.036 454.22
0.57 182.435 453.471
0.58 179.877 452.676
0.59 177.36 451.837
0.6 174.885 450.954
0.61 172.45 450.029
0.62 170.055 449.063
0.63 167.701 448.056
0.64 165.386 447.009
0.65 163.109 445.924
0.66 160.872 444.802
0.67 158.672 443.643
0.68 156.509 442.448
0.69 154.384 441.219
0.7 152.295 439.956
0.71 150.242 438.66
0.72 148.224 437.333
0.73 146.242 435.974
0.74 144.293 434.586
0.75 142.379 433.169
0.76 140.498 431.723
0.77 138.65 430.25
0.78 136.835 428.751
0.79 135.052 427.227
0.8 133.299 425.677
0.81 131.578 424.104
0.82 129.888 422.508
0.83 128.227 420.89
0.84 126.596 419.25
0.85 124.994 417.589
0.86 123.42 415.909
0.87 121.874 414.21
0.88 120.356 412.492
0.89 118.865 410.757
0.9 117.401 409.005
0.91 115.963 407.236
0.92 114.551 405.453
0.93 113.164 403.654
0.94 111.801 401.841
0.95 110.464 400.015
0.96 109.15 398.176
0.97 107.86 396.325
0.98 106.593 394.462
0.99 105.349 392.589
1 104.127 390.705
1.01 102.927 388.811
1.02 101.749 386.908
1.03 100.592 384.996
1.04 99.4551 383.076
1.05 98.3391 381.149
1.06 97.2432 379.214
1.07 96.1669 377.273
1.08 95.1099 375.326
1.09 94.0719 373.373
1.1 93.0524 371.415
1.11 92.0513 369.453
1.12 91.0681 367.486
1.13 90.1024 365.516
1.14 89.1541 363.542
1.15 88.2227 361.565
1.16 87.3079 359.586
1.17 86.4094 357.604
1.18 85.527 355.621
1.19 84.6603 353.636
1.2 83.8091 351.651
1.21 82.973 349.664
1.22 82.1518 347.678
1.23 81.3451 345.691
1.24 80.5528 343.705
1.25 79.7746 341.72
1.26 79.0101 339.735
1.27 78.2592 337.752
1.28 77.5215 335.77
1.29 76.7969 333.79
1.3 76.0851 331.813
1.31 75.3858 329.838
1.32 74.6989 327.865
1.33 74.024 325.895
1.34 73.3611 323.929
1.35 72.7098 321.966
1.36 72.0699 320.006
1.37 71.4412 318.051
1.38 70.8236 316.099
1.39 70.2168 314.152
1.4 69.6205 312.209
1.41 69.0348 310.271
1.42 68.4592 308.338
1.43 67.8937 306.41
1.44 67.338 304.487
1.45 66.792 302.569
1.46 66.2556 300.658
1.47 65.7284 298.751
1.48 65.2104 296.851
1.49 64.7014 294.957
1.5 64.2013 293.069
1.51 63.7098 291.187
1.52 63.2268 289.311
1.53 62.7521 287.443
1.54 62.2857 285.58
1.55 61.8274 283.725
1.56 61.3769 281.877
1.57 60.9343 280.035
1.58 60.4993 278.201
1.59 60.0717 276.374
1.6 59.6516 274.555
1.61 59.2387 272.743
1.62 58.8329 270.938
1.63 58.4341 269.141
1.64 58.0422 267.352
1.65 57.657 265.57
1.66 57.2785 263.796
1.67 56.9064 262.031
1.68 56.5408 260.273
1.69 56.1814 258.523
1.7 55.8283 256.781
1.71 55.4812 255.048
1.72 55.14 253.322
1.73 54.8048 251.605
1.74 54.4753 249.897
1.75 54.1515 248.196
1.76 53.8333 246.504
1.77 53.5205 244.821
1.78 53.2132 243.146
1.79 52.9111 241.479
1.8 52.6143 239.821
1.81 52.3226 238.172
1.82 52.0359 236.531
1.83 51.7542 234.899
1.84 51.4773 233.276
1.85 51.2053 231.661
1.86 50.938 230.055
1.87 50.6753 228.457
1.88 50.4172 226.869
1.89 50.1636 225.289
1.9 49.9144 223.718
1.91 49.6695 222.155
1.92 49.4289 220.602
1.93 49.1926 219.057
1.94 48.9604 217.521
1.95 48.7323 215.993
1.96 48.5082 214.475
1.97 48.288 212.965
1.98 48.0717 211.464
1.99 47.8593 209.972
2 47.6507 208.489
2.01 47.4457 207.014
2.02 47.2445 205.548
2.03 47.0468 204.091
2.04 46.8527 202.643
2.05 46.6621 201.203
2.06 46.4749 199.772
2.07 46.2911 198.35
2.08 46.1106 196.936
2.09 45.9335 195.531
2.1 45.7596 194.135
2.11 45.5889 192.748
2.12 45.4213 191.369
2.13 45.2568 189.998
2.14 45.0954 188.637
2.15 44.9371 187.283
2.16 44.7816 185.939
2.17 44.6292 184.603
2.18 44.4796 183.275
2.19 44.3328 181.956
2.2 44.1889 180.645
2.21 44.0477 179.343
2.22 43.9093 178.049
2.23 43.7735 176.763
2.24 43.6405 175.486
2.25 43.51 174.217
2.26 43.3821 172.957
2.27 43.2568 171.704
2.28 43.134 170.46
2.29 43.0136 169.224
2.3 42.8958 167.996
2.31 42.7803 166.777
2.32 42.6672 165.565
2.33 42.5565 164.362
2.34 42.4481 163.166
2.35 42.342 161.979
2.36 42.2381 160.799
2.37 42.1365 159.628
2.38 42.0371 158.464
2.39 41.9399 157.308
2.4 41.8448 156.16
2.41 41.7519 155.02
2.42 41.661 153.888
2.43 41.5723 152.763
2.44 41.4855 151.646
2.45 41.4009 150.537
2.46 41.3182 149.435
2.47 41.2374 148.341
2.48 41.1587 147.254
2.49 41.0818 146.175
2.5 41.0069 145.103
2.51 40.9339 144.039
2.52 40.8627 142.982
2.53 40.7934 141.933
2.54 40.7258 140.891
2.55 40.6601 139.856
2.56 40.5962 138.828
2.57 40.534 137.808
2.58 40.4736 136.795
2.59 40.4149 135.788
2.6 40.3579 134.789
2.61 40.3025 133.797
2.62 40.2489 132.812
2.63 40.1969 131.834
2.64 40.1465 130.863
2.65 40.0978 129.899
2.66 40.0506 128.942
2.67 40.005 127.991
2.68 39.961 127.048
2.69 39.9185 126.111
2.7 39.8776 125.18
2.71 39.8382 124.257
2.72 39.8003 123.34
2.73 39.7639 122.429
2.74 39.7289 121.525
2.75 39.6955 120.628
2.76 39.6634 119.737
2.77 39.6328 118.853
2.78 39.6037 117.975
2.79 39.5759 117.103
2.8 39.5495 116.238
2.81 39.5245 115.378
2.82 39.5009 114.526
2.83 39.4786 113.679
2.84 39.4577 112.838
2.85 39.4381 112.004
2.86 39.4198 111.176
2.87 39.4028 110.353
2.88 39.3871 109.537
2.89 39.3728 108.727
2.9 39.3597 107.923
2.91 39.3478 107.124
2.92 39.3372 106.331
2.93 39.3279 105.545
2.94 39.3198 104.764
2.95 39.3129 103.989
2.96 39.3072 103.219
2.97 39.3028 102.455
2.98 39.2995 101.697
2.99 39.2974 100.944
3 39.2965 100.197
3.01 39.2968 99.4557
3.02 39.2982 98.7197
3.03 39.3008 97.9891
3.04 39.3046 97.264
3.05 39.3094 96.5442
3.06 39.3154 95.8298
3.07 39.3225 95.1207
3.08 39.3308 94.4168
3.09 39.3401 93.7182
3.1 39.3505 93.0248
3.11 39.3621 92.3366
3.12 39.3747 91.6535
3.13 39.3884 90.9755
3.14 39.4031 90.3026
3.15 39.4189 89.6347
3.16 39.4358 88.9719
3.17 39.4537 88.3139
3.18 39.4727 87.6609
3.19 39.4927 87.0128
3.2 39.5137 86.3696
3.21 39.5358 85.7312
3.22 39.5588 85.0976
3.23 39.5829 84.4687
3.24 39.608 83.8446
3.25 39.6341 83.2252
3.26 39.6612 82.6104
3.27 39.6893 82.0003
3.28 39.7183 81.3948
3.29 39.7484 80.7938
3.3 39.7794 80.1974
3.31 39.8114 79.6055
3.32 39.8444 79.018
3.33 39.8783 78.435
3.34 39.9132 77.8564
3.35 39.949 77.2822
3.36 39.9858 76.7123
3.37 40.0235 76.1468
3.38 40.0621 75.5855
3.39 40.1017 75.0285
3.4 40.1423 74.4757
3.41 40.1837 73.9271
3.42 40.2261 73.3826
3.43 40.2694 72.8423
3.44 40.3136 72.3061
3.45 40.3587 71.774
3.46 40.4047 71.2459
3.47 40.4516 70.7218
3.48 40.4994 70.2018
3.49 40.5482 69.6856
3.5 40.5978 69.1735
3.51 40.6483 68.6652
3.52 40.6997 68.1608
3.53 40.7519 67.6602
3.54 40.8051 67.1635
3.55 40.8591 66.6705
3.56 40.914 66.1813
3.57 40.9698 65.6958
3.58 41.0265 65.2141
3.59 41.084 64.736
