Time nR nF
0 500 500
0.01 493.666 503.804
0.02 487.334 507.547
0.03 481.006 511.227
0.04 474.685 514.842
0.05 468.374 518.39
0.06 462.074 521.869
0.07 455.789 525.278
0.08 449.521 528.614
0.09 443.273 531.875
0.1 437.048 535.06
0.11 430.847 538.167
0.12 424.673 541.195
0.13 418.528 544.142
0.14 412.415 547.006
0.15 406.336 549.787
0.16 400.294 552.483
0.17 394.289 555.093
0.18 388.324 557.615
0.19 382.402 560.049
0.2 376.524 562.394
0.21 370.692 564.649
0.22 364.908 566.813
0.23 359.173 568.885
0.24 353.489 570.865
0.25 347.857 572.753
0.26 342.28 574.548
0.27 336.758 576.249
0.28 331.293 577.857
0.29 325.886 579.371
0.3 320.538 580.791
0.31 315.25 582.117
0.32 310.023 583.35
0.33 304.858 584.489
0.34 299.757 585.535
0.35 294.719 586.487
0.36 289.745 587.348
0.37 284.836 588.116
0.38 279.993 588.792
0.39 275.216 589.378
0.4 270.505 589.873
0.41 265.861 590.279
0.42 261.284 590.596
0.43 256.775 590.826
0.44 252.332 590.968
0.45 247.958 591.025
0.46 243.65 590.996
0.47 239.41 590.884
0.48 235.237 590.689
0.49 231.132 590.412
0.5 227.093 590.055
0.51 223.121 589.618
0.52 219.216 589.104
0.53 215.376 588.513
0.54 211.603 587.847
0.55 207.894 587.107
0.56 204.251 586.295
0.57 200.672 585.411
0.58 197.156 584.457
0.59 193.704 583.436
0.6 190.315 582.347
0.61 186.987 581.193
0.62 183.722 579.975
0.63 180.516 578.695
0.64 177.371 577.353
0.65 174.285 575.953
0.66 171.258 574.494
0.67 168.289 572.979
0.68 165.377 571.408
0.69 162.521 569.784
0.7 159.721 568.109
0.71 156.975 566.382
0.72 154.284 564.607
0.73 151.645 562.783
0.74 149.06 560.914
0.75 146.525 559
0.76 144.042 557.042
0.77 141.608 555.043
0.78 139.223 553.003
0.79 136.887 550.924
0.8 134.598 548.807
0.81 132.356 546.653
0.82 130.16 544.464
0.83 128.008 542.242
0.84 125.901 539.987
0.85 123.837 537.701
0.86 121.816 535.384
0.87 119.836 533.039
0.88 117.898 530.667
0.89 116 528.267
0.9 114.141 525.843
0.91 112.32 523.395
0.92 110.538 520.923
0.93 108.793 518.43
0.94 107.084 515.916
0.95 105.411 513.382
0.96 103.773 510.829
0.97 102.169 508.259
0.98 100.599 505.672
0.99 99.0618 503.069
1 97.5566 500.452
1.01 96.0829 497.821
1.02 94.6401 495.176
1.03 93.2275 492.52
1.04 91.8445 489.853
1.05 90.4904 487.175
1.06 89.1646 484.487
1.07 87.8666 481.791
1.08 86.5957 479.087
1.09 85.3513 476.376
1.1 84.1329 473.658
1.11 82.94 470.934
1.12 81.7719 468.206
1.13 80.6281 465.473
1.14 79.5081 462.736
1.15 78.4114 459.996
1.16 77.3375 457.254
1.17 76.2858 454.51
1.18 75.2559 451.765
1.19 74.2473 449.019
1.2 73.2596 446.273
1.21 72.2922 443.527
1.22 71.3448 440.782
1.23 70.4168 438.039
1.24 69.5079 435.298
1.25 68.6177 432.559
1.26 67.7457 429.823
1.27 66.8915 427.09
1.28 66.0548 424.362
1.29 65.2351 421.637
1.3 64.432 418.917
1.31 63.6453 416.202
1.32 62.8745 413.492
1.33 62.1194 410.788
1.34 61.3794 408.09
1.35 60.6544 405.398
1.36 59.944 402.713
1.37 59.2479 400.035
1.38 58.5657 397.365
1.39 57.8972 394.702
1.4 57.242 392.047
1.41 56.5999 389.4
1.42 55.9705 386.762
1.43 55.3537 384.133
1.44 54.7491 381.512
1.45 54.1564 378.901
1.46 53.5755 376.299
1.47 53.0059 373.706
1.48 52.4476 371.124
1.49 51.9003 368.551
1.5 51.3636 365.989
1.51 50.8375 363.437
1.52 50.3216 360.896
1.53 49.8158 358.365
1.54 49.3198 355.846
1.55 48.8334 353.337
1.56 48.3565 350.839
1.57 47.8887 348.353
1.58 47.43 345.879
1.59 46.9802 343.416
1.6 46.5389 340.964
1.61 46.1062 338.524
1.62 45.6817 336.097
1.63 45.2653 333.681
1.64 44.8569 331.277
1.65 44.4563 328.886
1.66 44.0633 326.507
1.67 43.6777 324.14
1.68 43.2995 321.785
1.69 42.9284 319.443
1.7 42.5643 317.114
1.71 42.2071 314.797
1.72 41.8566 312.493
1.73 41.5127 310.201
1.74 41.1753 307.923
1.75 40.8442 305.657
1.76 40.5194 303.403
1.77 40.2005 301.163
1.78 39.8877 298.936
1.79 39.5807 296.721
1.8 39.2794 294.52
1.81 38.9837 292.331
1.82 38.6935 290.155
1.83 38.4087 287.993
1.84 38.1292 285.843
1.85 37.8549 283.706
1.86 37.5857 281.583
1.87 37.3214 279.472
1.88 37.0621 277.374
1.89 36.8075 275.29
1.9 36.5576 273.218
1.91 36.3124 271.159
1.92 36.0717 269.114
1.93 35.8354 267.081
1.94 35.6035 265.061
1.95 35.3758 263.054
1.96 35.1524 261.06
1.97 34.9331 259.079
1.98 34.7178 257.111
1.99 34.5064 255.155
2 34.299 253.213
2.01 34.0954 251.283
2.02 33.8956 249.366
2.03 33.6994 247.461
2.04 33.5069 245.57
2.05 33.3179 243.691
2.06 33.1324 241.824
2.07 32.9503 239.97
2.08 32.7716 238.129
2.09 32.5963 236.3
2.1 32.4241 234.484
2.11 32.2552 232.68
2.12 32.0894 230.889
