Time nR nF
0 500 500
0.01 499.505 498.003
0.02 499.021 496.011
0.03 498.547 494.025
0.04 498.083 492.045
0.05 497.63 490.07
0.06 497.187 488.101
0.07 496.754 486.138
0.08 496.331 484.18
0.09 495.918 482.229
0.1 495.516 480.283
0.11 495.123 478.343
0.12 494.74 476.41
0.13 494.367 474.482
0.14 494.003 472.56
0.15 493.65 470.645
0.16 493.306 468.735
0.17 492.972 466.832
0.18 492.647 464.935
0.19 492.332 463.044
0.2 492.026 461.16
0.21 491.73 459.281
0.22 491.443 457.409
0.23 491.166 455.544
0.24 490.897 453.685
0.25 490.638 451.832
0.26 490.389 449.985
0.27 490.148 448.145
0.28 489.917 446.312
0.29 489.694 444.485
0.3 489.481 442.664
0.31 489.277 440.851
0.32 489.081 439.043
0.33 488.895 437.242
0.34 488.717 435.448
0.35 488.548 433.66
0.36 488.388 431.879
0.37 488.237 430.105
0.38 488.094 428.337
0.39 487.96 426.576
0.4 487.835 424.822
0.41 487.718 423.075
0.42 487.61 421.334
0.43 487.51 419.599
0.44 487.419 417.872
0.45 487.336 416.151
0.46 487.261 414.437
0.47 487.195 412.73
0.48 487.137 411.03
0.49 487.088 409.336
0.5 487.046 407.649
0.51 487.013 405.969
0.52 486.988 404.296
0.53 486.971 402.63
0.54 486.962 400.97
0.55 486.962 399.318
0.56 486.969 397.672
0.57 486.984 396.033
0.58 487.008 394.4
0.59 487.039 392.775
0.6 487.078 391.156
0.61 487.125 389.545
0.62 487.18 387.94
0.63 487.243 386.342
0.64 487.313 384.75
0.65 487.391 383.166
0.66 487.477 381.588
0.67 487.571 380.018
0.68 487.672 378.454
0.69 487.781 376.897
0.7 487.897 375.346
0.71 488.021 373.803
0.72 488.153 372.266
0.73 488.292 370.737
0.74 488.439 369.214
0.75 488.593 367.698
0.76 488.754 366.188
0.77 488.923 364.686
0.78 489.1 363.19
0.79 489.283 361.701
0.8 489.475 360.219
0.81 489.673 358.743
0.82 489.879 357.275
0.83 490.092 355.813
0.84 490.312 354.358
0.85 490.539 352.909
0.86 490.774 351.468
0.87 491.015 350.033
0.88 491.264 348.605
0.89 491.52 347.183
0.9 491.784 345.768
0.91 492.054 344.36
0.92 492.331 342.959
0.93 492.615 341.564
0.94 492.907 340.176
0.95 493.205 338.794
0.96 493.511 337.419
0.97 493.823 336.051
0.98 494.142 334.689
0.99 494.468 333.334
1 494.801 331.986
1.01 495.141 330.644
1.02 495.488 329.309
1.03 495.842 327.98
1.04 496.202 326.657
1.05 496.57 325.342
1.06 496.944 324.032
1.07 497.325 322.73
1.08 497.712 321.433
1.09 498.107 320.143
1.1 498.508 318.86
1.11 498.916 317.583
1.12 499.33 316.312
1.13 499.752 315.048
1.14 500.179 313.79
1.15 500.614 312.539
1.16 501.055 311.294
1.17 501.503 310.055
1.18 501.957 308.823
1.19 502.418 307.597
1.2 502.886 306.377
1.21 503.36 305.163
1.22 503.841 303.956
1.23 504.328 302.755
1.24 504.821 301.56
1.25 505.322 300.372
1.26 505.828 299.189
1.27 506.341 298.013
1.28 506.861 296.843
1.29 507.387 295.679
1.3 507.92 294.521
1.31 508.459 293.37
1.32 509.004 292.224
1.33 509.556 291.084
1.34 510.114 289.951
1.35 510.679 288.823
1.36 511.25 287.702
1.37 511.827 286.586
1.38 512.41 285.477
1.39 513 284.374
1.4 513.597 283.276
1.41 514.199 282.184
1.42 514.808 281.099
1.43 515.424 280.019
1.44 516.045 278.945
1.45 516.673 277.877
1.46 517.307 276.814
1.47 517.948 275.758
1.48 518.594 274.707
1.49 519.247 273.663
1.5 519.906 272.623
1.51 520.572 271.59
1.52 521.243 270.562
1.53 521.921 269.541
1.54 522.605 268.524
1.55 523.295 267.514
1.56 523.992 266.509
1.57 524.694 265.51
1.58 525.403 264.516
1.59 526.118 263.528
1.6 526.839 262.545
1.61 527.566 261.568
1.62 528.299 260.597
1.63 529.039 259.631
1.64 529.785 258.671
1.65 530.536 257.716
1.66 531.294 256.766
1.67 532.058 255.822
1.68 532.829 254.884
1.69 533.605 253.951
1.7 534.387 253.023
1.71 535.176 252.1
1.72 535.97 251.183
1.73 536.771 250.272
1.74 537.578 249.365
1.75 538.391 248.464
1.76 539.209 247.568
1.77 540.034 246.678
1.78 540.865 245.792
1.79 541.703 244.912
1.8 542.546 244.037
1.81 543.395 243.168
1.82 544.25 242.303
1.83 545.111 241.444
1.84 545.979 240.589
1.85 546.852 239.74
1.86 547.731 238.896
1.87 548.617 238.057
1.88 549.508 237.223
1.89 550.406 236.394
1.9 551.309 235.57
1.91 552.219 234.751
1.92 553.134 233.937
1.93 554.056 233.128
1.94 554.984 232.324
1.95 555.917 231.525
1.96 556.857 230.731
1.97 557.802 229.942
1.98 558.754 229.157
1.99 559.711 228.378
2 560.675 227.603
2.01 561.645 226.833
2.02 562.62 226.068
2.03 563.602 225.308
2.04 564.589 224.552
2.05 565.583 223.801
2.06 566.582 223.055
2.07 567.588 222.314
2.08 568.599 221.577
2.09 569.617 220.845
2.1 570.64 220.118
2.11 571.67 219.395
2.12 572.705 218.677
2.13 573.747 217.964
2.14 574.794 217.255
2.15 575.848 216.551
2.16 576.907 215.851
2.17 577.972 215.156
2.18 579.044 214.466
2.19 580.121 213.779
2.2 581.204 213.098
2.21 582.294 212.421
2.22 583.389 211.748
2.23 584.49 211.08
2.24 585.597 210.416
2.25 586.71 209.757
2.26 587.83 209.102
2.27 588.955 208.451
2.28 590.086 207.805
2.29 591.223 207.163
2.3 592.366 206.526
2.31 593.515 205.893
2.32 594.67 205.264
2.33 595.831 204.639
2.34 596.998 204.019
2.35 598.171 203.403
2.36 599.35 202.791
2.37 600.535 202.183
2.38 601.726 201.58
2.39 602.923 200.981
2.4 604.126 200.386
2.41 605.335 199.795
2.42 606.55 199.208
2.43 607.771 198.626
2.44 608.998 198.047
2.45 610.231 197.473
2.46 611.469 196.903
2.47 612.714 196.337
2.48 613.965 195.775
2.49 615.222 195.217
2.5 616.485 194.663
2.51 617.754 194.113
2.52 619.029 193.567
2.53 620.31 193.025
2.54 621.596 192.488
2.55 622.889 191.954
2.56 624.188 191.424
2.57 625.493 190.898
2.58 626.804 190.376
2.59 628.121 189.857
2.6 629.444 189.343
2.61 630.773 188.833
2.62 632.108 188.326
2.63 633.449 187.824
2.64 634.796 187.325
2.65 636.149 186.83
2.66 637.508 186.339
2.67 638.873 185.852
2.68 640.244 185.369
2.69 641.622 184.889
2.7 643.005 184.413
2.71 644.394 183.941
2.72 645.789 183.473
2.73 647.191 183.008
2.74 648.598 182.548
2.75 650.011 182.09
2.76 651.431 181.637
2.77 652.856 181.187
2.78 654.288 180.742
2.79 655.726 180.299
2.8 657.169 179.861
2.81 658.619 179.426
2.82 660.075 178.994
2.83 661.537 178.567
2.84 663.004 178.143
2.85 664.478 177.722
2.86 665.958 177.306
2.87 667.445 176.893
2.88 668.937 176.483
2.89 670.435 176.077
2.9 671.939 175.675
2.91 673.45 175.276
2.92 674.966 174.88
2.93 676.489 174.489
2.94 678.017 174.1
2.95 679.552 173.716
2.96 681.093 173.334
2.97 682.639 172.957
2.98 684.192 172.583
2.99 685.751 172.212
3 687.316 171.845
3.01 688.888 171.481
3.02 690.465 171.121
3.03 692.048 170.764
3.04 693.638 170.41
3.05 695.233 170.06
3.06 696.835 169.714
3.07 698.443 169.371
3.08 700.057 169.031
3.09 701.677 168.695
3.1 703.303 168.362
3.11 704.935 168.033
3.12 706.573 167.706
3.13 708.217 167.384
3.14 709.868 167.064
3.15 711.525 166.748
3.16 713.187 166.436
3.17 714.856 166.127
3.18 716.531 165.821
3.19 718.212 165.518
3.2 719.899 165.219
3.21 721.592 164.923
3.22 723.292 164.63
3.23 724.997 164.341
3.24 726.709 164.055
3.25 728.426 163.773
3.26 730.15 163.493
3.27 731.88 163.217
3.28 733.616 162.944
3.29 735.358 162.675
3.3 737.107 162.409
3.31 738.861 162.146
3.32 740.621 161.886
3.33 742.388 161.63
3.34 744.161 161.377
3.35 745.939 161.127
3.36 747.724 160.88
3.37 749.515 160.637
3.38 751.312 160.397
3.39 753.116 160.16
3.4 754.925 159.926
3.41 756.74 159.696
3.42 758.562 159.469
3.43 760.39 159.245
3.44 762.223 159.024
