Time nR nF
0 500 500
0.01 490.793 505.437
0.02 481.674 510.746
0.03 472.646 515.924
0.04 463.714 520.966
0.05 454.88 525.872
0.06 446.148 530.637
0.07 437.521 535.259
0.08 429 539.736
0.09 420.589 544.067
0.1 412.29 548.249
0.11 404.105 552.281
0.12 396.036 556.162
0.13 388.085 559.89
0.14 380.253 563.466
0.15 372.541 566.889
0.16 364.95 570.157
0.17 357.482 573.272
0.18 350.138 576.233
0.19 342.917 579.041
0.2 335.82 581.696
0.21 328.848 584.198
0.22 322.001 586.549
0.23 315.278 588.75
0.24 308.679 590.802
0.25 302.205 592.706
0.26 295.854 594.463
0.27 289.626 596.076
0.28 283.521 597.546
0.29 277.537 598.874
0.3 271.674 600.063
0.31 265.93 601.115
0.32 260.305 602.032
0.33 254.798 602.816
0.34 249.406 603.47
0.35 244.13 603.996
0.36 238.966 604.395
0.37 233.915 604.672
0.38 228.975 604.827
0.39 224.143 604.865
0.4 219.419 604.787
0.41 214.8 604.596
0.42 210.286 604.294
0.43 205.874 603.885
0.44 201.563 603.371
0.45 197.35 602.755
0.46 193.235 602.039
0.47 189.215 601.226
0.48 185.289 600.318
0.49 181.455 599.32
0.5 177.711 598.232
0.51 174.055 597.057
0.52 170.486 595.799
0.53 167.002 594.46
0.54 163.601 593.042
0.55 160.281 591.548
0.56 157.04 589.98
0.57 153.878 588.341
0.58 150.791 586.633
0.59 147.78 584.859
0.6 144.84 583.021
0.61 141.972 581.121
0.62 139.174 579.162
0.63 136.443 577.145
0.64 133.779 575.074
0.65 131.179 572.949
0.66 128.643 570.774
0.67 126.168 568.55
0.68 123.754 566.279
0.69 121.398 563.964
0.7 119.1 561.606
0.71 116.858 559.207
0.72 114.67 556.768
0.73 112.536 554.293
0.74 110.453 551.782
0.75 108.421 549.237
0.76 106.439 546.66
0.77 104.504 544.053
0.78 102.617 541.416
0.79 100.775 538.752
0.8 98.9775 536.063
0.81 97.2236 533.348
0.82 95.5121 530.611
0.83 93.8418 527.852
0.84 92.2116 525.073
0.85 90.6207 522.275
0.86 89.0678 519.459
0.87 87.5522 516.626
0.88 86.0728 513.778
0.89 84.6286 510.916
0.9 83.2188 508.041
0.91 81.8425 505.154
0.92 80.4988 502.256
0.93 79.1869 499.348
0.94 77.906 496.432
0.95 76.6552 493.507
0.96 75.4338 490.575
0.97 74.2411 487.637
0.98 73.0762 484.694
0.99 71.9385 481.747
1 70.8272 478.796
1.01 69.7418 475.842
1.02 68.6814 472.886
1.03 67.6456 469.928
1.04 66.6335 466.97
1.05 65.6448 464.012
1.06 64.6786 461.055
1.07 63.7345 458.099
1.08 62.8119 455.145
1.09 61.9103 452.194
1.1 61.0291 449.246
1.11 60.1678 446.301
1.12 59.3258 443.36
1.13 58.5028 440.425
1.14 57.6982 437.494
1.15 56.9115 434.569
1.16 56.1424 431.651
1.17 55.3903 428.739
1.18 54.6548 425.833
1.19 53.9356 422.936
1.2 53.2322 420.046
1.21 52.5442 417.164
1.22 51.8713 414.29
1.23 51.213 411.426
1.24 50.569 408.57
1.25 49.9389 405.725
1.26 49.3225 402.888
1.27 48.7194 400.062
1.28 48.1292 397.247
1.29 47.5516 394.442
1.3 46.9864 391.647
1.31 46.4332 388.864
1.32 45.8917 386.092
1.33 45.3617 383.332
1.34 44.8428 380.583
1.35 44.3349 377.847
1.36 43.8376 375.122
1.37 43.3507 372.41
1.38 42.874 369.711
1.39 42.4072 367.024
1.4 41.95 364.349
1.41 41.5024 361.688
1.42 41.0639 359.04
1.43 40.6345 356.405
1.44 40.2138 353.783
1.45 39.8018 351.175
1.46 39.3981 348.58
1.47 39.0027 345.999
1.48 38.6153 343.432
1.49 38.2357 340.878
1.5 37.8638 338.339
1.51 37.4994 335.813
1.52 37.1422 333.302
1.53 36.7923 330.804
1.54 36.4493 328.321
1.55 36.1132 325.852
1.56 35.7837 323.397
1.57 35.4608 320.956
1.58 35.1443 318.53
1.59 34.834 316.119
1.6 34.5298 313.721
1.61 34.2316 311.338
1.62 33.9393 308.97
1.63 33.6527 306.616
